"Part";"Value";"Device";"Package";"Description";"";
"D1";"1N4148-1206";"1N4148-1206";"R1206";"DIODE";"";
"K1";"FINDER 40.52.9.024.0000";"4052";"F4052";"RELAY";"";
"PAD1";"";"SMD-2X3";"SMD2-3";"SMD PAD";"";
"PAD2";"";"SMD-2X3";"SMD2-3";"SMD PAD";"";
"PAD3";"";"SMD-2X3";"SMD2-3";"SMD PAD";"";
"PAD4";"";"SMD-2X3";"SMD2-3";"SMD PAD";"";
"R1";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R2";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R3";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R4";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R5";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R6";"2k2";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R7";"2k2";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R8";"2k2";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R9";"2k2";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R10";"2k2";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"X1";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"";
"X2";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"";
"X3";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"";
"X4";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"";
"X5";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"";
"X6";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"";
"X7";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"";
"X8";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"";
"X9";"WAGO236-401/2";"WAGO236-401/2";"WAGO236-401_2";"WAGO236-401";"";
"X10";"WAGO236-401/2";"WAGO236-401/2";"WAGO236-401_2";"WAGO236-401";"";
"X11";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"";
"X12";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"";
"X13";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"";
"X14";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"";
"X15";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"";
